,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
0,R (A),R (a.u.),batch size,lr,dcy const,C_0,C_+1,C_-1,C_+2,C_exc1,C_exc2,C_exc3,O_0,O_+1,O_-1,O_-2,O_exc1,O_exc2,C Eff.,O Eff.,Tot. Ch,RMSE,epoch len.
1,7.40,13.98397231564,1024,0.01,0.0001,0.93925697,0.0002857104,0.0003054631,0.030089708,0.000189452,0.01949402,0.009725746,0.8042568,0.00015644317,0.00028186175,0.03026089,0.104071625,0.060678102,0.06015966340783052,-0.06064720002177637,-0.00048753661394584924,0.007183737689787627,1112
2,7.20,13.60602711792,1024,0.01,0.0001,0.9133336,0.0040639797,0.0005820767,0.053747218,0.00045049147,0.023898711,0.004063393,0.7132302,0.00039967572,0.00061111164,0.05584433,0.15143469,0.07910911,0.1109763392014429,-0.11190009451820515,-0.0009237553167622536,0.007216972918956951,808
3,7.00,13.2280819202,1024,0.01,0.0001,0.89881086,0.0031728535,0.0006719087,0.067036815,0.00059598015,0.024835028,0.0040289327,0.6679068,0.00035993502,0.00039999498,0.0685294,0.1727414,0.088599205,0.1365745747461915,-0.13709885446587577,-0.000524279719684273,0.007242869403982948,596
4,6.80,12.85013672248,1024,0.01,0.0001,0.89149356,0.00054723787,0.0018018099,0.07258455,0.00047974414,0.029228859,0.00349593,0.6458324,0.00052956014,0.0007598605,0.07190212,0.1835571,0.0982896,0.14391452219570056,-0.14403453760314733,-0.00012001540744677186,0.0073126923251784935,657
5,6.60,12.47219152476,1024,0.01,0.0001,0.87744707,0.0017976925,0.0121686235,0.07795735,0.00064941606,0.024591718,0.005743921,0.6334532,0.0010363036,0.0038124928,0.07010297,0.18822865,0.10355219,0.14554376306477934,-0.14298212388530374,0.0025616391794756055,0.007361242569254528,589
6,6.40,12.09424632704,1024,0.01,0.0001,0.87465066,0.006492676,0.004499658,0.08598005,0.00048223144,0.026635524,0.00090396305,0.6112935,0.000722713,0.010094911,0.08168385,0.19398887,0.10200338,0.17395311873406172,-0.1727399014052935,0.0012132173287682235,0.007400511328980491,684
7,6.20,11.71630112932,1024,0.01,0.0001,0.87003064,0.009600954,0.001323422,0.09741551,0.0016835482,0.022388905,0.0017481309,0.59500283,0.00068571034,0.000808457,0.101111285,0.20476474,0.09724918,0.20310854585841298,-0.2023453174624592,0.0007632283959537745,0.007448617270096832,422
8,6.00,11.338355931599999,1024,0.01,0.0001,0.8570943,0.0170657,0.00042032354,0.12367008,0.00050671364,0.0010378914,0.000521478,0.5639573,0.0005679425,0.0002954505,0.1318632,0.22140366,0.08153332,0.263985534227686,-0.2634539212449454,0.0005316129827406257,0.007531379411507749,824
9,5.80,10.96041073388,1024,0.01,0.0001,0.83676326,0.018056983,0.00051225437,0.14349644,0.00039995398,0.00041402748,0.00038724698,0.5383537,0.0006243045,0.00033690492,0.15231474,0.23905657,0.06932281,0.304537606483791,-0.3043420752801467,0.00019553120364435017,0.007584859981847266,825
