,0,1,2,3
0,epoch,training_loss,q_per_epoch,rmse_ep
1,1,4.1247239112854,0.2493496537208557,5.703313581761904e-05
2,2,3.531034469604492,0.2503006160259247,5.688435703632422e-05
3,3,3.519442319869995,0.24938449263572693,5.8228364650858566e-05
4,4,4.161951541900635,0.2508656978607178,5.800360668217763e-05
5,5,2.8475329875946045,0.2509095370769501,5.8037665439769626e-05
6,6,2.819113254547119,0.2515515387058258,5.7222230680054054e-05
7,7,3.1859302520751953,0.2522153854370117,5.7931163610192016e-05
8,8,3.2527639865875244,0.25232863426208496,5.7789275160757825e-05
9,9,3.3983142375946045,0.2528303861618042,5.8469515352044255e-05
10,10,3.1008663177490234,0.2524316608905792,5.748871626565233e-05
11,11,3.2339367866516113,0.2539560794830322,5.6723030866123736e-05
12,12,2.9013869762420654,0.25371402502059937,5.748577314079739e-05
13,13,2.7021713256835938,0.2544676661491394,5.7617176935309544e-05
14,14,2.76668381690979,0.2546182870864868,5.687999873771332e-05
15,15,3.167675733566284,0.2550731599330902,5.731805504183285e-05
16,16,3.4104835987091064,0.25555089116096497,5.815471013193019e-05
17,17,3.419715642929077,0.2567696273326874,5.738614345318638e-05
18,18,3.0051910877227783,0.25720834732055664,5.760496060247533e-05
19,19,3.294607162475586,0.25685903429985046,5.6080505601130426e-05
20,20,2.7822225093841553,0.2570776641368866,5.7285335060441867e-05
21,21,2.8439321517944336,0.2575574517250061,5.808907008031383e-05
22,22,2.9330012798309326,0.25797709822654724,5.7926674344344065e-05
23,23,2.9226434230804443,0.2586553394794464,5.7782395742833614e-05
24,24,2.622624635696411,0.258497416973114,5.8830049965763465e-05
25,25,2.64046049118042,0.25911715626716614,5.710592449759133e-05
26,26,2.9144861698150635,0.2597861886024475,5.7048866437980905e-05
27,27,2.6944146156311035,0.2596459686756134,5.715346924262121e-05
28,28,2.4780678749084473,0.26052889227867126,5.724807488149963e-05
29,29,2.918656349182129,0.2606874704360962,6.227764242794365e-05
30,30,2.426945924758911,0.26062485575675964,5.7731958804652095e-05
31,31,2.9667840003967285,0.2614201605319977,5.747322938987054e-05
32,32,2.5978147983551025,0.261626273393631,5.806127956020646e-05
33,33,2.813551425933838,0.2617253363132477,5.8308349252911285e-05
34,34,2.9907026290893555,0.26186972856521606,5.796491677756421e-05
35,35,2.449692964553833,0.2628543972969055,5.785546454717405e-05
36,36,2.558178424835205,0.2631129324436188,5.7216551795136184e-05
37,37,2.473890542984009,0.2629035413265228,5.690120815415867e-05
38,38,2.515251636505127,0.26260480284690857,5.726130257244222e-05
39,39,2.422337532043457,0.2635273337364197,5.722600326407701e-05
40,40,2.71553111076355,0.2632591128349304,5.6873977882787585e-05
41,41,2.7771430015563965,0.26358717679977417,5.7788049161899835e-05
42,42,2.563706636428833,0.2637457847595215,5.789373972220346e-05
43,43,2.79548716545105,0.2636292576789856,5.789939677924849e-05
44,44,2.486924648284912,0.26356127858161926,5.734122169087641e-05
45,45,2.550326347351074,0.26427891850471497,5.725850860471837e-05
46,46,2.8131632804870605,0.26419124007225037,5.741793574998155e-05
47,47,2.7101123332977295,0.2647135257720947,5.722827336285263e-05
48,48,2.953984022140503,0.26449161767959595,5.680073445546441e-05
49,49,2.4931719303131104,0.26567748188972473,5.7766421377891675e-05
50,50,2.4000751972198486,0.26565486192703247,5.717496242141351e-05
51,51,2.5329995155334473,0.2657330334186554,5.732551289838739e-05
52,52,2.440246343612671,0.2658286690711975,5.839251389261335e-05
53,53,2.218329668045044,0.26682937145233154,5.7283785281470045e-05
54,54,2.6651620864868164,0.2671070694923401,5.710755431209691e-05
55,55,2.958174467086792,0.2672327756881714,5.6677272368688136e-05
56,56,3.1784446239471436,0.2666817009449005,5.8152359997620806e-05
57,57,2.6898319721221924,0.26719069480895996,5.723985668737441e-05
58,58,2.6218771934509277,0.26726171374320984,5.724096263293177e-05
59,59,2.4908947944641113,0.2674332559108734,5.7426703278906643e-05
60,60,2.6734628677368164,0.26779258251190186,5.779234925284982e-05
61,61,2.4348719120025635,0.2680089771747589,5.756743485108018e-05
62,62,2.5618722438812256,0.2682681977748871,5.712144775316119e-05
63,63,2.4114251136779785,0.2687317728996277,5.7211247622035444e-05
64,64,2.349867343902588,0.2692911624908447,5.735435479437001e-05
65,65,2.5838050842285156,0.2689344882965088,5.80489395360928e-05
66,66,2.4232373237609863,0.26933375000953674,5.97552461840678e-05
67,67,2.377175807952881,0.26985621452331543,5.727434472646564e-05
68,68,2.5611135959625244,0.26971885561943054,5.8524969063000754e-05
69,69,2.4846346378326416,0.26986977458000183,5.810891525470652e-05
70,70,2.1680266857147217,0.2696063816547394,5.819652142236009e-05
71,71,2.5570297241210938,0.2698374390602112,5.739667540183291e-05
72,72,2.6157400608062744,0.27030149102211,5.722965579479933e-05
73,73,2.4070866107940674,0.2706391215324402,5.719946057070047e-05
74,74,2.6307120323181152,0.27052220702171326,6.219675560714677e-05
75,75,2.5491676330566406,0.27084293961524963,5.722159403376281e-05
76,76,2.34965443611145,0.2703374922275543,5.821050581289455e-05
77,77,2.239799737930298,0.27025026082992554,5.6720567954471335e-05
78,78,2.200300693511963,0.2705402374267578,5.7379067584406585e-05
79,79,2.3523306846618652,0.2708134055137634,5.721760317101143e-05
80,80,2.2479095458984375,0.2715352773666382,5.7117529649985954e-05
81,81,2.3733298778533936,0.27173319458961487,5.907601007493213e-05
82,82,2.1777586936950684,0.2712123990058899,5.686907024937682e-05
83,83,2.433687925338745,0.2716262936592102,5.8261452068109065e-05
84,84,2.3073933124542236,0.2714318335056305,5.780296487500891e-05
85,85,2.2474422454833984,0.27196449041366577,5.739469997934066e-05
86,86,2.454049587249756,0.27237412333488464,5.7214685512008145e-05
87,87,2.3876397609710693,0.2727663218975067,5.792998490505852e-05
88,88,2.2084720134735107,0.2727285325527191,5.73689685552381e-05
89,89,2.3710899353027344,0.2732076644897461,5.7667824876261875e-05
90,90,1.9818192720413208,0.27340781688690186,5.71195014344994e-05
91,91,2.205552816390991,0.27379998564720154,5.696780135622248e-05
92,92,2.3485910892486572,0.27375707030296326,5.676213186234236e-05
93,93,2.485036849975586,0.2737331986427307,5.841720849275589e-05
94,94,2.4143810272216797,0.2738501727581024,5.756366590503603e-05
95,95,2.158871650695801,0.27376270294189453,5.7176584959961474e-05
96,96,2.1586601734161377,0.27417778968811035,5.722048081224784e-05
97,97,2.4532556533813477,0.2736227512359619,5.8309575251769274e-05
98,98,2.2159783840179443,0.2739441990852356,5.7381406804779544e-05
99,99,2.057664632797241,0.2740410566329956,5.738562686019577e-05
100,100,2.0163826942443848,0.2745206654071808,5.765553578385152e-05
101,101,2.295506715774536,0.2746714949607849,5.760151179856621e-05
102,102,2.1422228813171387,0.2749471664428711,5.754555968451314e-05
103,103,2.2676446437835693,0.2752814292907715,5.7737324823392555e-05
104,104,2.106259822845459,0.2748250663280487,5.7143508456647396e-05
105,105,2.406986951828003,0.27529197931289673,5.720108310924843e-05
106,106,2.1922004222869873,0.2751842439174652,5.748964031226933e-05
107,107,2.3326492309570312,0.2751725912094116,5.7368495617993176e-05
108,108,2.433462142944336,0.27524229884147644,5.7505796576151624e-05
109,109,1.965245246887207,0.27515262365341187,5.75106059841346e-05
110,110,2.027085781097412,0.27567970752716064,5.784539825981483e-05
111,111,2.114722490310669,0.2758730351924896,5.7936995290219784e-05
112,112,2.2966432571411133,0.27621448040008545,5.7534605730324984e-05
113,113,2.193146228790283,0.27611884474754333,6.0805297835031524e-05
114,114,2.1507973670959473,0.27641257643699646,5.675482680089772e-05
115,115,1.994028925895691,0.2765266001224518,5.7171280786860734e-05
116,116,2.3113410472869873,0.276777058839798,5.7236553402617574e-05
117,117,2.1115469932556152,0.2770560383796692,5.748133480665274e-05
118,118,1.9237271547317505,0.2771921157836914,5.749435513280332e-05
119,119,2.1757938861846924,0.2771572470664978,5.7276869483757764e-05
120,120,2.0946223735809326,0.2769165337085724,5.713466816814616e-05
121,121,1.9248909950256348,0.2771219313144684,5.7825312978820875e-05
122,122,1.9389439821243286,0.2774115800857544,5.801577208330855e-05
123,123,2.0953304767608643,0.27752453088760376,5.7644960179459304e-05
124,124,2.194201946258545,0.27812400460243225,5.710437471861951e-05
125,125,2.3663792610168457,0.27775663137435913,5.814361429656856e-05
126,126,2.1015610694885254,0.2780907452106476,5.7529861805960536e-05
127,127,2.0492610931396484,0.27845898270606995,5.7587643823353574e-05
128,128,2.0441102981567383,0.2785741090774536,5.7508910686010495e-05
129,129,1.9772343635559082,0.27849990129470825,5.7727229432202876e-05
130,130,1.9494233131408691,0.27869755029678345,5.704229261027649e-05
131,131,1.9227566719055176,0.2785889804363251,5.744605732616037e-05
132,132,1.9226080179214478,0.2786939740180969,6.128964014351368e-05
133,133,2.074875831604004,0.2787008285522461,5.7317411119583994e-05
134,134,2.009955883026123,0.2790442109107971,5.7776429457589984e-05
135,135,1.9775283336639404,0.27941617369651794,5.711379344575107e-05
